ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición
15,simple,,"Kraven: The Hunter (2024)",1,1,visible,"'Kraven: The Hunter' es la visceral historia de cómo y por qué surgió uno de los villanos más emblemáticos de Marvel. Aaron Taylor-Johnson interpreta al personaje principal en esta película para adultos, ambientada antes de su famosa venganza contra Spider-Man.","Kraven: The Hunter
\n
\nTítulo original: Kraven the Hunter
\n
\nPaís: USA
\n
\nEstreno en USA: 30/08/2024
\n
\nProductora: Columbia Pictures, Sony Pictures
\n
\nDistribuidora: Columbia Pictures
\n
\nDistribuidora en España: Sony Pictures Releasing De Espana
\n
\nDirector: J.C. Chandor
\n
\nGuión: Art Marcum, Matt Holloway, Richard Wenk
\n
\nReparto: Aaron Taylor-johnson, Ariana DeBose, Fred Hechinger, Alessandro Nivola, Christopher Abbott, Levi Miller, Russell Crowe",,,taxable,,1,4,2,0,0,,,,,1,,,700,Acción,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/kraven-the-hunter.jpg,,,,,,,,,0
26,simple,,"Borderlands (2024)",1,0,visible,"Lilith (Blanchett), una forajida infame con un misterioso pasado, regresa a su planeta natal de Pandora para encontrar a la hija desaparecida del S.O.B más poderoso del universo, Atlas (Ramirez). Lilith forja una alianza con un equipo inesperado: Roland (Hart), un antiguo mercenario de élite ahora desesperado por la redención; Tina (Greenblatt), una demolicionista salvaje preadolescente; Krieg (Munteanu), el protector musculoso de Tina; Tannis (Curtis), una científica con un tenue control de la cordura; y Captrap (Black), un robot muy peculiar.
\n
\nEstos extraños héroes deberán luchar contra monstruos alienígenas y bandidos peligrosos para buscar y proteger a la chica perdida, que tal vez tenga la clave de un poder inimaginable. El destino del universo puede estar en sus manos... pero lucharán por algo más.","Título: Borderlands
\n
\nTítulo original: Borderlands
\n
\nPaís: USA
\n
\nEstreno en USA: 09/08/2024
\n
\nEstreno en España: 09/08/2024
\n
\nProductora: Lionsgate, Arad Productions, Picturestart
\n
\nDistribuidora: Lionsgate
\n
\nDistribuidora en España: Diamond Films Espana
\n
\nDirector: Eli Roth
\n
\nGuión: Craig Mazin, Gary Ross
\n
\nReparto: Cate Blanchett, Edgar Ramirez, Kevin Hart, Ariana Greenblatt, Florian Munteanu, Jamie Lee Curtis, Haley Bennett, Jack Black
\n
\nProductor: Avi Arad",,,taxable,,1,4,2,0,0,,,,,1,,,650,"Sin categorizar",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/borderlands-2024.jpg,,,,,,,,,0
39,simple,,"Furiosa: De la saga Mad Max (2024)",1,0,visible,"Al caer el mundo la joven Furiosa es arrebatada del Lugar Verde de Muchas Madres y cae en manos de la gran Horda de Motoristas liderada por el señor de la guerra Dementus. Arrasando el Páramo, se topan con la Ciudadela presidida por Inmortan Joe. Mientras los dos tiranos luchan por la supremacía, Furiosa deberá sobrevivir a duras pruebas mientras reúne los medios para poder encontrar el camino de vuelta a casa.","Título: Furiosa: De la saga Mad Max
\n
\nTítulo original: Furiosa: A Mad Max Saga
\n
\nPaís: USA, Australia
\n
\nEstreno en USA: 24/05/2024
\n
\nEstreno en España: 24/05/2024
\n
\nProductora: Kennedy Miller Productions, Village Roadshow, Warner Bros. Pictures
\n
\nDistribuidora: Warner Bros.
\n
\nDistribuidora en España: Warner Bros Pictures Espana
\n
\nDirector: George Miller
\n
\nGuión: George Miller, Nico Lathouris
\n
\nReparto: Anya Taylor-joy, Chris Hemsworth, Tom Burke, Alyla Browne, Angus Sampson, Daniel Webber, Nathan Jones, Goran D. Kleut, Lachy Hulme, CJ. Bloomfield, Rahel Romahn, Robert McFarlane, David Collins, Matuse, Maleeka Gasbarri, Florence Mezzara, Alex Time",,,taxable,,1,8,2,0,0,,,,,0,,,600,"Acción, Ciencia Ficción",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/furiosa-a-mad-max.jpg,,,,,,,,,0
89,simple,,"El especialista (2024)",1,0,visible,"Es un doble de acción, y al igual que todos en la comunidad de especialistas, sale volando, le disparan, se estrella, se tira desde ventanas y cae desde las alturas más extremas, todo para nuestro entretenimiento. Y ahora, tras un accidente que casi acaba con su carrera, este héroe de clase trabajadora debe seguir la pista de una estrella de cine desaparecida, resolver una conspiración y tratar de recuperar el amor de su vida mientras sigue haciendo su trabajo. ¿Qué podría salir bien?","Título: El especialista
\n
\nTítulo original: The Fall Guy
\n
\nPaís: USA
\n
\nEstreno en USA: 03/05/2024
\n
\nEstreno en España: 26/04/2024
\n
\nProductora: 87north Productions, Entertainment 360, Hyde Park Entertainment, Parkes Macdonald Image Nation, Wwe Studios, Arcana
\n
\nDistribuidora: Universal Pictures
\n
\nDistribuidora en España: Universal Pictures Espana
\n
\nDirector: David Leitch
\n
\nGuión: Drew Pearce
\n
\nReparto: Ryan Gosling, Emily Blunt, Aaron Taylor-johnson, Stephanie Hsu, Winston Duke, Hannah Waddingham, Shakriya Tarinyawat, Tahlia Crinis",,,taxable,,1,3,2,0,0,,,,,1,,,700,Acción,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/el_especialista.jpg,,,,,,,,,0
90,simple,,"Yo no soy esa (2024)",1,0,visible,"En <strong><em>Yo No Soy Esa</em></strong> Susana despierta tras 20 años en coma. Ahora es una adolescente en un cuerpo de señora en pleno siglo XXI. Susana tendrá que manejarse en un mundo en el que nada le es familiar y tendrá que aprender a vivir en él.","Título: Yo no soy esa
\n
\nTítulo original: Yo no soy esa
\n
\nPaís: España
\n
\nEstreno en España: 25/10/2024
\n
\nProductora: Sony Pictures, Cahuenga Filmmakers, El Estudio
\n
\nDistribuidora en España: Sony Pictures Releasing De Espana
\n
\nDirector: María Ripoll
\n
\nGuión: Olga Iglesias
\n
\nReparto: Verónica Echegui, Silma López, Angela Molina, Daniel Grao, Adam Jezierski",,,taxable,,1,7,2,0,0,,,,,1,,,650,Comedia,,,http://localhost/danielstreaming/wp-content/uploads/2024/03/yo_no_soy_esa.jpg,,,,,,,,,0
91,simple,,"Amigos imaginarios (2024)",1,0,visible,"Comedia fantástica que trata sobre una niña que descubre que puede ver a los amigos imaginarios de todo el mundo, y lo que hace con ese superpoder mientras se embarca en una aventura mágica para reconectar a los amigos imaginarios olvidados con sus hijos.","Título: Amigos imaginarios
\n
\nTítulo original: IF
\n
\nPaís: USA
\n
\nEstreno en USA: 17/05/2024
\n
\nEstreno en España: 17/05/2024
\n
\nProductora: Sunday Night, Maximum Effort
\n
\nDistribuidora: Paramount Pictures
\n
\nDistribuidora en España: Paramount Pictures Spain
\n
\nDirector: John Krasinski
\n
\nGuión: John Krasinski
\n
\nReparto: Ryan Reynolds, John Krasinski, Cailey Fleming, Fiona Shaw, Phoebe Waller-Bridge, Louis Gossett Jr., Steve Carell",,,taxable,,1,5,3,0,0,,,,,1,,,600,"Aventuras, Comedia",,,http://localhost/danielstreaming/wp-content/uploads/2024/03/if.jpg,,,,,,,,,0
92,simple,,"Godzilla y Kong: El nuevo imperio (2024)",1,1,visible,"<section class=""highlight"">
\n<div class=""info"">
\n
\nUna aventura cinematográfica completamente nueva, que enfrentará al todopoderoso Kong y al temible Godzilla contra una colosal amenaza desconocida escondida dentro de nuestro mundo. La nueva y épica película profundizará en las historias de estos titanes, sus orígenes y los misterios de Isla Calavera y más allá, mientras descubre la batalla mítica que ayudó a forjar a estos seres extraordinarios y los unió a la humanidad para siempre.
\n
\n</div>
\n</section>","Título: Godzilla y Kong: El nuevo imperio
\n
\nTítulo original: Godzilla x Kong: The New Empire
\n
\nPaís: USA
\n
\nEstreno en USA: 29/03/2024
\n
\nEstreno en España: 27/03/2024
\n
\nProductora: Legendary Pictures, Warner Bros. Pictures
\n
\nDistribuidora: Warner Bros.
\n
\nDistribuidora en España: Warner Bros.
\n
